LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
193,,23805.193,PAR,CARTIER BAGUE SAPHIR ET DIAMANTS,,,,,"Oval sapphire, rectangular diamonds, platinum (French mark), signed Cartier<br><br>Gem Paris, 2025, report n°.20251978129-2: Burma, non heated<br><br>Sapphire: with an approximate weight of 2.80-3.20 carats<br>Diamonds: with an approximate total weight of 0.50-0.60 carat<br><br>Size/Dimensions: FR ring size: 55 / US ring size: 7<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 5.2 grams<br><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. Fitted with a U-shaped ring (broken).<br>- Sapphire: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:12:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;platinum,ring,
194,,23805.194,PAR,STEPHEN WEBSTER PARURE DIAMANTS,,,,,"Comprising a necklace, a bracelet and a pair of earrings <br><br>Pear-shaped and brilliant-cut diamonds, 18k white gold (French customs marks), signed SW, necklace is numbered, Stephen Webster fitted cases for bracelet and necklace<br><br>Diamonds: with an approximate total weight of 31.00-34.00 carats<br><br>Size/Dimensions: necklace 38.5 cm pendant 5.3 x 5.1 cm, bracelet 19.0 cm, earrings 6.5 cm<br>Gross weight: 193.2 grams<br><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Necklace and bracelet fitted with concealed clasps with security catches; earrings fitted with posts and clip backs for pierced ears. Gross weight of each element: 80.4 grams (necklace), 88.7 grams (bracelet) and 24.1 grams (earrings).<br>- Additional marks: K18 on necklace and 750 on each element.<br>- Diamonds: on average G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With minor chips at the junction of the table's facets.",,,,,,,,,,25000,35000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:13:00,24000,24000,0,0,,,,,,United Kingdom,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,jewelry set,
195,,23805.195,PAR,NO RESERVE - BOUCHERON BROCHE DIAMANTS,,,<b><i>• This lot is offered without reserve. </i></b><br><b>• Lot proposé sans prix de réserve.</b>,,"Baguette and brilliant-cut diamonds, platinum and 18k white gold (French marks), signed Boucheron Paris, maker’s mark (Robert Sublon), Boucheron case<br><br>Diamonds: with a total approximate weight of 7.50-8.50 carats<br><br>Size/Dimensions: 5.5 cm<br>Gross weight: 31.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem clipback.<br>-Diamonds: on average G to I colour, VS clarity. Colour has been gauged as far as the yellow mounting permits. With chips at the junction of the table's facets.",,,,,,,,,,6000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:14:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;platinum,brooch,Boucheron
196,,23805.196,PAR,VAN CLEEF & ARPELS PAIRE DE BOUCLES D’OREILLES DIAMANTS ‘FLEURETTE’,,,,,"Pear-shaped, tapered-baguette and brilliant-cut diamonds, platinum and 18k white gold (French marks), signed Van Cleef & Arpels, maker’s marks (Van Cleef & Arpels), numbered<br><br>Diamonds: with an approximate total weight of 7.50-8.50 carats<br><br>Size/Dimensions: 2.6 x 2.0 cm <br>Gross weight: 15.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Earrings fitted with clip backs for non-pierced ears.<br>- Additional marks: OR, PT950.<br>- Diamonds: on average E to F color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,15000,20000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:15:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;platinum;gold,earrings,Van Cleef & Arpels
197,,23805.197,PAR,BRACELET DIAMANTS,,,,,"Baguette and brilliant-cut diamonds, platinum and 18k white gold (French marks), French maker’s mark <br><br>Diamonds: with a total approximate weight of 10.00-11.00 carats<br><br>Size/Dimensions: 17.0 cm<br>Gross weight: 40.4 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed and secured clasp.<br>- Additional marks: French maker's mark partially erased and unidentifiable.<br>- Diamonds: on average E to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:16:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,bracelet,
198,,23805.198,PAR,BAGUE DIAMANTS,,,,,"Old-cut diamond of 2.55 carats and round diamonds, 18k white gold (French customs mark)<br><br>Remaining diamond: with an approximate total weight of 0.30-050 carat<br><br>Size/Dimensions: FR ring size: 49 / US ring size: 4<sup>3</sup>⁄<sub>4</sub><br>Gross weight: 6.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Diamonds: on average G to H color, SI clarity. Colour has been gauged as far as the mounting permits. With minor chips at the junction of the table's facets and severe cracks at the girdle. Diamond set on a faceted metal foil.",,,,,,,,,,12000,18000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:17:00,12000,12000,0,0,,,,,,Germany,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,ring,
199,,23805.199,PAR,CARTIER DEMI-PARURE PERLES DE CULTURE ET ÉMERAUDES 'PANTHÈRE',,,,,"Comprising a necklace and a bracelet<br><br>Round cultured pearls, pear emeralds, 18k yellow gold and blackened silver (French marks), signed Cartier, French maker's marks, numbered, Cartier fitted case for each element<br><br>Size/Dimensions: necklace 39.0 cm, bracelet 19.0 cm<br>Gross weight: 91.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and silver, minor oxidation stains. Necklace and bracelet fitted with concealed clasps. Gross weight of each element: 55.5 grams (necklace) and 35.5 grams (bracelet).<br>- Additional marks: 750 and 800 (on each element), unidentifiable French maker's marks.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Cultured pearls: of white bodycolour, partly with rosé and green overtones, nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,8000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:18:00,5000,5000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;emerald,necklace,Cartier
200,,23805.200,PAR,BAGUE DIAMANTS,,,,,"Cushion-shaped diamond of 5.15 carats and pear-shaped diamonds, 18k white gold (French customs mark) <br><br>GIA, 2025, report n°.2235597587: 5.15 carats, G color, VVS2 clarity, no fluorescence<br><br>Remaining diamonds: with an approximate total weight of 0.90-1.10 carat<br><br>Size/Dimensions: FR ring size: 53 / US ring size: 6<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 5.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. The ring can be opened in two.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle. Remaining diamonds on average I to J color, VVS to VS clarity. Colour has been gauged as far as the mounting permits.",,,,,,,,,,80000,120000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:19:00,80000,80000,0,0,,,,,,Belgium,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,diamond,ring,
201,,23805.201,PAR,MONTURE SCHLUMBERGER COLLIER DE PERLES FINES ET DIAMANTS,,,,,"Comprising six rows of natural pearls<br><br>Round, rounded and button-shaped natural pearls, old-cut diamonds, 18k yellow and white gold (French mark), signed Schlumberger MontureS, maker’s mark (Louis Pebaumas), circa 1940<br><br>LFG, 2025, report n°.418468: 556 saltwater natural pearls, approximately 3.2 - 4.4 mm approx. (6 strands) and approximately 5.6 - 5.6 x 4.0 mm and 6.9 - 6.9 x 7.4 mm (clasp), no indication of treatment<br><br>Main diamond: with an approximate weight of 1.50-1.60 carat<br>Remaining diamond: with an approximate weight of 0.80-1.00 carat<br><br>Size/Dimensions: 36.0 cm<br>Gross weight: 54.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold, oxidation stains. Fitted with a concealed clasp with a secured catch.<br>- Natural pearls: white slightly cream to slightly cream bodycolour, good to excellent luster (LFG certificate) and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled and half-drilled.<br>- Diamonds: on average I to J color, VS2 to SI2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:20:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;colored diamond,necklace,"Schlumberger, Jean"
202,,23805.202,PAR,VAN CLEEF & ARPELS PAIRE DE BOUCLES D’OREILLES TRANSFORMABLES PERLES FINES ET PERLES DE CULTURE ET DIAMANTS,,,,,"Rounded cultured pearls and drop-shaped natural pearls, brilliant-cut diamonds, platinum and 18k white gold (French customs marks), signed Van Cleef & Arpels NY, maker’s mark (Van Cleef & Arpels), Van Cleef & Arpels pouch<br><br>LFG, 2025, report n°.416162: 2 saltwater cultural pearls and 2 saltwater natural pearls, no indication of treatment, measuring approximately 8.5-8.5 mm, 9.5-10.2 x 12.2 mm, 8.4-8.5 mm, 10.1-10.7 x 13.1 mm<br><br>Diamonds: with an approximate total weight of 15.00-17.00 carats<br><br>Size/Dimensions: 6.7 cm <br>Gross weight: 34.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. Earrings fitted with clip backs for non-pierced ears. The hanging part can be removed.<br>- Additional marks: 1965 ©, PT 950 (on each earring).<br>- Natural and cultured pearls: white and slightly pinkish cream bodycolour, good to very good luster (LFG) and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Half-drilled.<br>- Diamonds: on average D to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:21:00,30000,30000,0,0,,,,,,USA,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;platinum,earrings,Van Cleef & Arpels
203,,23805.203,PAR,BROCHE SAPHIRS ET DIAMANTS ART DÉCO,,,,,"Oval sapphire cabochons, pear, single, round and old-cut diamonds, platinum and 18k white gold (French marks), French maker’s marks, circa 1930<br><br>Size/Dimensions: 4.2 x 3.5 cm<br>Gross weight: 33.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a double pinstem clipback. <br>- Additional marks: partially erased and unidentifiable French maker’s marks.<br>- Sapphires: with typical inclusions, minor chips at surface.<br>- Diamonds: on average I to J color, VS2 to SI2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,4000,6000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:22:00,4000,4000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;diamond;platinum,brooch,
204,,23805.204,PAR,BAGUE DIAMANTS,,,,,"Brilliant-cut and pear-shaped diamonds, 18k white gold (French customs marks) and platinum<br><br>Diamonds: with an approximate total weight of 3.50-4.00 carats<br><br>Size/Dimensions: FR ring size: 55 / US ring size: 7<sup>1</sup>⁄<sub>4</sub> <br>Gross weight: 9.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Solder mark (resizing) and lack of rhodium in some areas due to friction.<br>- Diamonds: on average G to I color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,3000,5000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:23:00,3000,3000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,,
205,,23805.205,PAR,PATEK PHILIPPE MONTRE 'NAUTILUS' REFERENCE 3800/1A,,,,,"Stainless steel, dial and bracelet signed Patek Philippe Genève, automatic movement, Patek Philippe pouch<br><br>Size/Dimensions: inner continuous circumference of the bracelet 16.5 cm, case diameter 37 mm<br>Gross weight: 90.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout steel. Fitted with a folding clasp. <br>- Glass: in good condition, very minor scratches at surface.<br>- Bracelet: signed Patek Philippe Genève, steel inox. One of the bracelet links is broken.<br>- Dial: signed Patek Philippe Genève, Swiss. Serviced bracelet.<br>- Case: internal case back signed Patek Philippe Geneve, acier inoxydable and numbered 2831953 3800/1C.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended. Movement numbered 335 SC 1425864.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,24000,45000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:24:00,24000,24000,0,0,,,,,,Switzerland,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,,wristwatch,Patek Philippe
206,,23805.206,PAR,COLLIER NEGLIGÉ TRANSFORMABLE DIAMANTS ART DÉCO,,,,,"The pendant can be worn as a brooch<br><br>Round and rectangular diamonds, platinum and 18k white gold (French customs marks), circa 1930, Jacques Serra fitted case<br><br>Diamonds: with an approximate total weight of 13.00-15.00 carats<br><br>Size/Dimensions: necklace 42.5 cm, pendant transformable into a brooch 9.5 cm<br>Gross weight: 87.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. Necklace fitted with a concealed and secured clasp, brooch fitted with a single pinstem.<br>- Diamonds: on average G to H color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle. One baguette diamond is missing.",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:25:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,necklace,
207,,23805.207,PAR,"CARTIER PILULIER PIERRES DE COULEUR, ÉMAIL ET DIAMANTS ART DÉCO",,,,,"Leaf and fruit-shaped emeralds and rubies cabochons, round sapphire cabochons, vase-shaped onyx plaque, black enamel, rose-cut diamonds, platinum and 18k yellow gold (French customs mark), signed Cartier Paris Londres New-York, numbered, circa 1925<br><br>Size/Dimensions: diameter 5.0 cm<br>Gross weight: 56.0 grams<br>",,,,,"-Overall condition: fair. Shows severe signs of wear with minor abrasions throughout gold. Opening on a single compartment. Mirror is missing.<br>- Emerald: with typical inclusions, cracks at surface.<br>- Rubies: with typical inclusions, cracks at surface.<br>- Sapphires: with typical inclusions, minor chips at surface.<br>- Onyx: in good condition, with scratches at surface.<br>- Enamel: in fair condition, lack of material, scratches.<br>-Diamonds: with chips at the junction of the table's facets. <br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,4000,6000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:26:00,4000,4000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel;sapphire;diamond,vanity case,Cartier
208,,23805.208,PAR,"PIETRO DEL VAGLIO ÉPINGLE DE JABOT ÉMERAUDES, SAPHIR, RUBIS ET DIAMANTS",,,,,"Leaf-shaped engraved emeralds, fancy-shaped sugarloaf cabochon sapphire, round cabochon and triangular rubies, brilliant-cut diamonds, 18k yellow and white gold (French customs mark), signed P. del Vaglio<br><br>Size/Dimensions: 7.1 cm<br>Gross weight: 15.9 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a single pinstem clip.<br>- Additional marks: 750.<br>- Emeralds: with typical inclusions, minor chips at the junction of the facets.<br>- Sapphire: with typical inclusions, minor chips at the junction of the facets.<br>- Rubies: with typical inclusions, minor chips at surface of the cabochon.<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,4000,6000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:27:00,100,4000,0,0,,,,,,Italy,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;emerald;gold,pins,
209,,23805.209,PAR,PAIRE DE BOUCLES D’OREILLES DIAMANTS ART DÉCO,,,,,"Round diamonds, 18k white gold and platinum (French marks), French maker’s mark, numbered, circa 1930<br><br>Main diamonds: weighing approximately 0.70-0.75 carat and 0.70 and 0.75 carat<br><br>Size/Dimensions: 3.5 cm<br>Gross weight: 10.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with clip back for non-pierced ears. <br>- Additional marks: French maker’s marks partially erased and unidentifiable.<br>-Diamonds: on average G colour, VS clarity. Colour has been gauged as far as the yellow mounting permits. With chips at the junction of the table's facets.",,,,,,,,,,4000,6000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:28:00,4000,4000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,earrings,
210,,23805.210,PAR,BOUCHERON BRACELET DIAMANTS,,,,,"Brilliant-cut and marquise diamonds, platinum (French mark), signed Boucheron Paris, Boucheron pouch<br><br>Diamonds: with an approximate total weight of 21.50-23.50 carats<br><br>Size/Dimensions: 16.5 cm<br>Gross weight: 23.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Fitted with a concealed and secured clasp.<br>- Diamonds: on average D to F color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:29:00,30000,30000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;platinum,bracelet,Boucheron
211,,23805.211,PAR,TROIS BIJOUX ÉMERAUDES ET DIAMANTS ART DÉCO,,,,,"Comprising a bracelet, a transformable brooch and a brooch<br><br>Square-cushion emerald, old, single and rose-cut diamonds, platinum and 18k yellow and white gold (French customs marks), circa 1925<br><br>Gem Paris, 2025, report n°.20251978171-2: Colombia, moderate oil<br><br>Emerald: with an approximate weight of 1.20-1.50 carat<br>Diamonds: with an approximate total 22.00-25.00 carats<br><br>Size/Dimensions: bracelet 18.1 cm, transformable brooch 3.7 x 3.7 cm, brooch 5.8 x 2.4 cm<br>Gross weight: 94.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum, oxidation stains. Bracelet fitted with a concealed and secured clasp, transformable brooch fitted with a single pinstem and a bail, the other brooch fitted with a single pinstem. Gross weight of each element: 62.6 grams (bracelet), 16.3 grams (transformable brooch) and 15.4 grams (brooch).<br>- Additional marks: 56AH (transformable brooch).<br>- Diamonds: on average G to J color, VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,8000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:30:00,8000,8000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond,jewelry set,
212,,23805.212,PAR,BROCHE DIAMANTS FIN DU XIXe SIÈCLE,,,,,"Old-cut diamonds, 14k white gold (French customs mark) and silver, circa 1880<br><br>Diamonds: with an approximate total weight of 14.00-16.00 carats<br><br>Size/Dimensions: 5.5 x 4.5 cm<br>Gross weight: 19.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a single pinstem clipback.<br>- Sapphire: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average I to K color, SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,8000,12000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:31:00,6000,6000,0,0,,,,,,Germany,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,brooch,
213,,23805.213,PAR,COLLIER PERLES FINES ET DIAMANTS,,,,,"Roundish to oval, button and drop-shaped natural pearls, round diamonds, 18k white gold (customs mark)<br><br>SSEF, 2025, report n°.145977: 41 saltwater natural pearls, approximately 8.70 - 9.45 - 11.95 - 9.30 - 9.05 mm<br><br>Size/Dimensions: 41.0 cm<br>Gross Weight: 50.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed clasp with a security chainlet.<br>- Natural pearls: slightly cream to light cream bodycolour, partly with rosé and green overtones (SSEF report), with some typical blemishes and some lack of nacre and scratches at surface. Drilled.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:32:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;gold,necklace,
214,,23805.214,PAR,NO RESERVE - CARTIER BOÎTE ÉMAIL ET PIERRES DE COULEUR ART DÉCO,,,<i><b>• This lot is offered without reserve. </b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Opening to reveal a mirror, a powder compartment, one comb holder, two further open compartments and one close<br><br>Blue and black enamel, carved emerald, oval cabochon rubies, carved onyx panel, 18k yellow gold (French customs mark), signed Cartier, London, fitted red Cartier case, circa 1930<br><br>Size/Dimensions: 15.2 x 11.2 x 2.1 cm<br>Gross weight: 499.8 grams<br>",,,,,"-Overall condition: fair. Shows evident signs of use commensurate with age, including abrasion marks, indentations and traces of tarnish. The close compartment and one edge of the comb holder are a bit loose but secure in the setting. Secure lid. <br>-Additional marks: INDIA (behind the mirror). <br>-Mirror: with some scratches. Losse. <br>-Enamel: with losses, a few of them more visible. <br>-Emerald and rubies: with typical inclusions, some surface reaching. <br>-Onyx: with evident traces of enamelling and glue. <br>-Case: with evident signs of use. <br>-Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,3000,5000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:33:00,100,100,0,0,,,,,,United Kingdom,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel;emerald;ruby,vanity case,Cartier
215,,23805.215,PAR,BAGUE ÉMERAUDE ET DIAMANTS,,,,,"Rectangular step-cut emerald, rectangular, baguette and old-cut diamonds, platinum (French customs mark) <br><br>Emerald: for an approximate weight of 9.00 - 11.00 carats<br>Diamonds: for a total approximate weight of 1.00-1.40 carat<br><br>Gem Paris, 2023, report no. 20222976723-7: Colombia, moderate<br><br>Size/Dimensions: FR ring size 54 / US ring size 6<sup>3</sup>⁄<sub>4</sub><br>Gross weight: 8.3 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum.<br>- Emerald: with typical inclusions, a few surface-reaching and chips at the junction of the table's facets and at the girdle.<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,8000,14000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:34:00,8000,8000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,emerald;diamond;platinum,ring,
216,,23805.216,PAR,BROCHE ÉMERAUDE ET DIAMANTS,,,,,"Pear-shaped emeralds, brilliant-cut and rectangular diamonds, platinum (French customs mark)<br><br>Diamonds: with an approximate total weight of 10.50-12.00 carats<br><br>Size/Dimensions: 6.1 x 4.8 cm<br>Gross weight: 33.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. Fitted with a single pinstem clipback.<br>- Emeralds: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 11:35:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;emerald;platinum,brooch,
